,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" start-page "")]/span[1]_RELOC",class namesr-only_SEL,"xpath//*[@id=""mountId""]/div/main/section/div/div/span/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[2]/div[1]_RELOC",class namefooter-room__home-smart-button-glow_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-content "")]/div[3]_RELOC",class namefooter-content__column_SEL,"xpath//*[@id=""mountId""]/footer/div/div/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[2]/div[2]/p[1]_RELOC",class namesvelte-10yoal6_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a[2]/div[2]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[4]/div[2]/span[1]_RELOC",class namearrow-holder_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a[4]/div[2]/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__room "")]/div[1]_RELOC",class namefooter-room_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div_SEL","//*[@tabindex=""0""]/span[2]_RELOC","xpath//*[@id=""mountId""]/div/nav/div/button/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[1]/div[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]_RELOC",class namefooter-room__home-smart-buttons_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[3]/button[1]_RELOC",class namefooter-room__home-smart-button_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[3]/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[2]/button[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[2]/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[3]/button[1]/span[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[3]/button/span_SEL","//*[@id=""mountId""]/div[2]_RELOC",class nameregion-links_SEL,"xpath//*[@id=""mountId""]/div[2]_SEL","//*[@tabindex=""0""]_RELOC",class namesvelte-1cgqpdj_SEL,"xpath//*[@id=""mountId""]/div/nav/div/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[3]/div[2]/p[1]_RELOC","xpath//*[@id=""mountId""]/div/main/section[2]/a[3]/div[2]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" sub "")]/div[1]_RELOC",class nameholder_SEL,"xpath//*[@id=""mountId""]/div/main/section/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[3]/div[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[2]/div[2]_RELOC",class namecontent_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a[2]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[1]/button[1]/span[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div/button/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" tablet-max "")]_RELOC",class namevideo-container_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a/div/div[2]/div_SEL"
34,20220309173324,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
35,20220310190521,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
36,20220311224256,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
37,20220312151252,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
38,20220313232519,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
39,20220314235016,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
40,20220315224951,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
41,20220316224819,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
42,20220317233144,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
43,20220318222211,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
44,20220319220602,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
45,20220320210826,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
46,20220321221244,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
47,20220322234840,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
48,20220323230439,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
49,20220324213341,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
50,20220325225216,1,5,1,1,0,1,1,0,1,1,24,1,1,24,1,1,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,24,1,1,3,1,1,0
