,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" top-banner "")]_RELOC",class nametop-banner_SEL,xpath//[document]/body/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" navbar-nav "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][3]_RELOC",class namedropdown_SEL,"xpath//*[@id=""bs-navbar""]/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" merchants "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]/p[1]_RELOC",xpath//[document]/body/div[5]/div/div[2]/div/div/div[2]/p_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" logo "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" logo-capt "")][1]_RELOC",class namelogo-capt_SEL,xpath//[document]/body/div[3]/div/div/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][2]_RELOC",class namecol-md-6_SEL,xpath//[document]/body/div[6]/div/div/div/div/div[2]_SEL,"//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[18]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[18]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content-txt "")][1]_RELOC",class namestat-content-txt_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" sr-only "")]_RELOC",class namesr-only_SEL,xpath//[document]/body/div[4]/div/div/div/span/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]_RELOC",class namerow_SEL,xpath//[document]/body/div[6]/div/div/div/div_SEL,"//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" indent-menu "")][6]_RELOC",class nameindent-menu_SEL,"xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[11]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" navigation "")]_RELOC",class namenavigation_SEL,xpath//[document]/body/div[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" navbar-nav "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][2]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[3]_SEL","//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[14]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[14]_SEL","//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[8]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[8]_SEL","//*[@id=""wm-media-curtain""]_RELOC",idwm-media-curtain_SEL,"xpath//*[@id=""wm-media-curtain""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" sidebar "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")][4]_RELOC",class namestat_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" collapsed "")]/span[4]_RELOC",class nameicon-bar_SEL,xpath//[document]/body/div[4]/div/div/div/span/span[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]_RELOC",class namestat-content_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]_RELOC",class namefooter-link_SEL,xpath//[document]/body/div[6]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" container-fluid "")]_RELOC",class namecontainer-fluid_SEL,xpath//[document]/body/div[7]/div_SEL
27,20210515071030,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
28,20210516082245,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
29,20210517144028,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
30,20210518201417,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
31,20210521113155,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
32,20210523143752,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
33,20210525154240,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
34,20210527165709,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
35,20210528011728,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
36,20210531031810,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
37,20210603055636,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
38,20210607025211,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
39,20210610105822,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
40,20210618182114,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
41,20210619131209,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
42,20210622121104,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
43,20210628143327,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
44,20210702095203,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
45,20210707131208,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
